city,date,max_temperature
haerbin,2022/10/1,12
haerbin,2022/10/2,19
haerbin,2022/10/3,7
haerbin,2022/10/4,8
haerbin,2022/10/5,8
haerbin,2022/10/6,11
haerbin,2022/10/7,13
haerbin,2022/10/8,12
haerbin,2022/10/9,7
haerbin,2022/10/10,12
haerbin,2022/10/11,15
haerbin,2022/10/12,17
haerbin,2022/10/13,18
haerbin,2022/10/14,16
haerbin,2022/10/15,17
haerbin,2022/10/16,11
haerbin,2022/10/17,7
haerbin,2022/10/18,9
haerbin,2022/10/19,14
haerbin,2022/10/20,17
haerbin,2022/10/21,16
haerbin,2022/10/22,10
haerbin,2022/10/23,7
haerbin,2022/10/24,8
haerbin,2022/10/25,14
haerbin,2022/10/26,9
haerbin,2022/10/27,6
haerbin,2022/10/28,7
haerbin,2022/10/29,8
haerbin,2022/10/30,10
haerbin,2022/10/31,11
beijing,2022/10/1,24
beijing,2022/10/2,19
beijing,2022/10/3,20
beijing,2022/10/4,16
beijing,2022/10/5,15
beijing,2022/10/6,18
beijing,2022/10/7,19
beijing,2022/10/8,12
beijing,2022/10/9,15
beijing,2022/10/10,18
beijing,2022/10/11,20
beijing,2022/10/12,20
beijing,2022/10/13,19
beijing,2022/10/14,22
beijing,2022/10/15,24
beijing,2022/10/16,19
beijing,2022/10/17,17
beijing,2022/10/18,19
beijing,2022/10/19,21
beijing,2022/10/20,18
beijing,2022/10/21,22
beijing,2022/10/22,21
beijing,2022/10/23,22
beijing,2022/10/24,20
beijing,2022/10/25,19
beijing,2022/10/26,18
beijing,2022/10/27,12
beijing,2022/10/28,13
beijing,2022/10/29,14
beijing,2022/10/30,15
beijing,2022/10/31,17
shanghai,2022/10/1,31
shanghai,2022/10/2,32
shanghai,2022/10/3,36
shanghai,2022/10/4,24
shanghai,2022/10/5,20
shanghai,2022/10/6,18
shanghai,2022/10/7,18
shanghai,2022/10/8,19
shanghai,2022/10/9,21
shanghai,2022/10/10,18
shanghai,2022/10/11,19
shanghai,2022/10/12,20
shanghai,2022/10/13,22
shanghai,2022/10/14,22
shanghai,2022/10/15,23
shanghai,2022/10/16,22
shanghai,2022/10/17,21
shanghai,2022/10/18,19
shanghai,2022/10/19,20
shanghai,2022/10/20,22
shanghai,2022/10/21,25
shanghai,2022/10/22,25
shanghai,2022/10/23,21
shanghai,2022/10/24,22
shanghai,2022/10/25,20
shanghai,2022/10/26,20
shanghai,2022/10/27,20
shanghai,2022/10/28,19
shanghai,2022/10/29,21
shanghai,2022/10/30,22
shanghai,2022/10/31,22
guangzhou,2022/10/1,32
guangzhou,2022/10/2,34
guangzhou,2022/10/3,34
guangzhou,2022/10/4,35
guangzhou,2022/10/5,33
guangzhou,2022/10/6,34
guangzhou,2022/10/7,31
guangzhou,2022/10/8,29
guangzhou,2022/10/9,30
guangzhou,2022/10/10,26
guangzhou,2022/10/11,27
guangzhou,2022/10/12,29
guangzhou,2022/10/13,30
guangzhou,2022/10/14,31
guangzhou,2022/10/15,31
guangzhou,2022/10/16,31
guangzhou,2022/10/17,29
guangzhou,2022/10/18,24
guangzhou,2022/10/19,25
guangzhou,2022/10/20,28
guangzhou,2022/10/21,32
guangzhou,2022/10/22,34
guangzhou,2022/10/23,34
guangzhou,2022/10/24,31
guangzhou,2022/10/25,30
guangzhou,2022/10/26,30
guangzhou,2022/10/27,31
guangzhou,2022/10/28,30
guangzhou,2022/10/29,28
guangzhou,2022/10/30,28
guangzhou,2022/10/31,27
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
chengdu,2022/10/1,26
chengdu,2022/10/2,30
chengdu,2022/10/3,24
chengdu,2022/10/4,25
chengdu,2022/10/5,20
chengdu,2022/10/6,19
chengdu,2022/10/7,18
chengdu,2022/10/8,17
chengdu,2022/10/9,18
chengdu,2022/10/10,19
chengdu,2022/10/11,20
chengdu,2022/10/12,17
chengdu,2022/10/13,17
chengdu,2022/10/14,21
chengdu,2022/10/15,23
chengdu,2022/10/16,28
chengdu,2022/10/17,26
chengdu,2022/10/18,26
chengdu,2022/10/19,23
chengdu,2022/10/20,26
chengdu,2022/10/21,27
chengdu,2022/10/22,28
chengdu,2022/10/23,28
chengdu,2022/10/24,21
chengdu,2022/10/25,17
chengdu,2022/10/26,20
chengdu,2022/10/27,17
chengdu,2022/10/28,16
chengdu,2022/10/29,15
chengdu,2022/10/30,20
chengdu,2022/10/31,24
